director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,ActionAdventureFantasySci-Fi,avatar
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ActionAdventureFantasy,pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,ActionAdventureThriller,spectre
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,ActionThriller,the dark knight rises
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,ActionAdventureSci-Fi,john carter
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,ActionAdventureRomance,spider-man 3
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,AdventureAnimationComedyFamilyFantasyMusicalRomance,tangled
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,ActionAdventureSci-Fi,avengers: age of ultron
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,AdventureFamilyFantasyMystery,harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,ActionAdventureSci-Fi,batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,ActionAdventureSci-Fi,superman returns
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,ActionAdventure,quantum of solace
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ActionAdventureFantasy,pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,ActionAdventureWestern,the lone ranger
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,ActionAdventureFantasySci-Fi,man of steel
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,ActionAdventureFamilyFantasy,the chronicles of narnia: prince caspian
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,ActionAdventureSci-Fi,the avengers
