director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,ActionAdventureFantasySci-Fi,avatar,CCH Pounder Joel David Moore Wes Studi James Cameron ActionAdventureFantasySci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ActionAdventureFantasy,pirates of the caribbean: at world's end,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski ActionAdventureFantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,ActionAdventureThriller,spectre,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes ActionAdventureThriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,ActionThriller,the dark knight rises,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan ActionThriller
Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,star wars: episode vii - the force awakens            ,Doug Walker Rob Walker unknown Doug Walker Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,ActionAdventureSci-Fi,john carter,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton ActionAdventureSci-Fi
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,AdventureAnimationComedyFamilyFantasyMusicalRomance,tangled,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno AdventureAnimationComedyFamilyFantasyMusicalRomance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,ActionAdventureSci-Fi,avengers: age of ultron,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon ActionAdventureSci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,AdventureFamilyFantasyMystery,harry potter and the half-blood prince,Alan Rickman Daniel Radcliffe Rupert Grint David Yates AdventureFamilyFantasyMystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,ActionAdventureSci-Fi,batman v superman: dawn of justice,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder ActionAdventureSci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,ActionAdventureSci-Fi,superman returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer ActionAdventureSci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,ActionAdventure,quantum of solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster ActionAdventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ActionAdventureFantasy,pirates of the caribbean: dead man's chest,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski ActionAdventureFantasy
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,ActionAdventureWestern,the lone ranger,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski ActionAdventureWestern
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,ActionAdventureFantasySci-Fi,man of steel,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder ActionAdventureFantasySci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,ActionAdventureFamilyFantasy,the chronicles of narnia: prince caspian,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson ActionAdventureFamilyFantasy
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,ActionAdventureFantasy,pirates of the caribbean: on stranger tides,Johnny Depp Sam Claflin Stephen Graham Rob Marshall ActionAdventureFantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,ActionAdventureComedyFamilyFantasySci-Fi,men in black 3,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld ActionAdventureComedyFamilyFantasySci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: the battle of the five armies,Aidan Turner Adam Brown James Nesbitt Peter Jackson AdventureFantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,ActionAdventureFantasy,the amazing spider-man,Emma Stone Andrew Garfield Chris Zylka Marc Webb ActionAdventureFantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,ActionAdventureDramaHistory,robin hood,Mark Addy William Hurt Scott Grimes Ridley Scott ActionAdventureDramaHistory
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,AdventureFantasy,the hobbit: the desolation of smaug,Aidan Turner Adam Brown James Nesbitt Peter Jackson AdventureFantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,AdventureFamilyFantasy,the golden compass,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz AdventureFamilyFantasy
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,DramaRomance,titanic,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron DramaRomance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,ActionAdventureSci-Fi,captain america: civil war,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo ActionAdventureSci-Fi
